DNA matching,128,549602,54960.19922,3306753,55112.55078,60
DNA matching,256,531842,53184.19922,3204219,53403.64844,60
DNA matching,512,513433,51343.30078,3081703,51361.71484,60
DNA matching,1024,472545,47254.50000,2825327,47088.78516,60
DNA matching,2048,411618,41161.80078,2456186,40936.43359,60
DNA matching,4096,328170,32817.00000,1969134,32818.89844,60
DNA matching,8192,227875,22787.50000,1371056,22850.93359,60
DNA matching,16384,144011,14401.09961,865186,14419.76660,60
DNA matching,32768,82887,8288.70020,495631,8260.51660,60
DNA matching,65536,44614,4461.39990,269176,4486.26660,60
DNA matching,131072,23343,2334.30005,140406,2340.10010,60
