custom SHA256 test,2,16976891,1697689.25000,102299471,1704991.25000,60
custom SHA256 test,4,16915844,1691584.37500,101478601,1691310.00000,60
custom SHA256 test,8,17253143,1725314.37500,103551496,1725858.25000,60
custom SHA256 test,16,17216060,1721606.00000,103534814,1725580.25000,60
custom SHA256 test,32,17215384,1721538.37500,103349345,1722489.12500,60
custom SHA256 test,64,14455988,1445598.75000,86705611,1445093.50000,60
custom SHA256 test,128,12603148,1260314.75000,75765649,1262760.75000,60
custom SHA256 test,256,9874734,987473.37500,59289032,988150.56250,60
custom SHA256 test,512,6873001,687300.12500,41187633,686460.56250,60
custom SHA256 test,1024,4303401,430340.09375,25868811,431146.87500,60
custom SHA256 test,2048,2454607,245460.70312,14784319,246405.31250,60
custom SHA256 test,4096,1321504,132150.40625,7929566,132159.43750,60
custom SHA256 test,8192,684790,68479.00000,4135030,68917.16406,60
custom SHA256 test,16384,348357,34835.69922,2105667,35094.44922,60
custom SHA256 test,32768,175834,17583.40039,1061375,17689.58398,60
custom SHA256 test,65536,88906,8890.59961,533085,8884.75000,60
custom SHA256 test,131072,44515,4451.50000,261749,4362.48340,60
custom SHA256 test,262144,21774,2177.39990,133375,2222.91675,60
custom SHA256 test,524288,11128,1112.80005,66779,1112.98328,60
custom SHA256 test,1048576,5546,554.59998,33261,554.34998,60
custom SHA256 test,2097152,2786,278.60001,16673,277.88333,60
custom SHA256 test,4194304,1380,138.00000,8276,137.93333,60
custom SHA256 test,8388608,692,69.20000,4157,69.28333,60
custom SHA256 test,16777216,341,34.10000,2054,34.23333,60
