DNA matching,102,5864976,586497.62500,35373257,589554.25000
DNA matching,204,5013186,501318.59375,30079079,501318.00000
DNA matching,408,3909313,390931.31250,23436508,390608.46875
DNA matching,816,2640537,264053.68750,15743905,262398.40625
DNA matching,1632,1723815,172381.50000,10351637,172527.28125
DNA matching,3264,988168,98816.79688,5927991,98799.85156
DNA matching,6528,531583,53158.30078,3203908,53398.46484
DNA matching,13056,257927,25792.69922,1546928,25782.13281
DNA matching,26112,141249,14124.90039,844387,14073.11621
DNA matching,52224,66482,6648.20020,398400,6640.00000
DNA matching,104448,33251,3325.10010,197815,3296.91675
